-70.440300,-23.081233,-50.000000
-70.441276,-23.081258,-50.000000
-70.442248,-23.081313,-50.000000
-70.443203,-23.081490,-50.000000
-70.444125,-23.081780,-50.000000
-70.444978,-23.082214,-50.000000
-70.445791,-23.082714,-50.000000
-70.446612,-23.083202,-50.000000
-70.447503,-23.083465,-50.000000
-70.448298,-23.083027,-50.000000
-70.448896,-23.082313,-50.000000
-70.449538,-23.081634,-50.000000
-70.450208,-23.080979,-50.000000
-70.450983,-23.080433,-50.000000
-70.451873,-23.080104,-50.000000
-70.452437,-23.080729,-50.000000
-70.452033,-23.081543,-50.000000
-70.451531,-23.082317,-50.000000
-70.451785,-23.083014,-50.000000
-70.452683,-23.082784,-50.000000
-70.453475,-23.082256,-50.000000
-70.454307,-23.081785,-50.000000
-70.455174,-23.081376,-50.000000
-70.456128,-23.081213,-50.000000
-70.457098,-23.081113,-50.000000
-70.458071,-23.081055,-50.000000
-70.459045,-23.080994,-50.000000
-70.460020,-23.080985,-50.000000
-70.460987,-23.081092,-50.000000
-70.461785,-23.081584,-50.000000
-70.462244,-23.082368,-50.000000
-70.462656,-23.083182,-50.000000
-70.463376,-23.083728,-50.000000
-70.464011,-23.083278,-50.000000
-70.463778,-23.082414,-50.000000
-70.463328,-23.081616,-50.000000
-70.463392,-23.080762,-50.000000
-70.464257,-23.080392,-50.000000
-70.465185,-23.080113,-50.000000
-70.466114,-23.079841,-50.000000
-70.467033,-23.079541,-50.000000
-70.467980,-23.079320,-50.000000
-70.468940,-23.079179,-50.000000
-70.469907,-23.079206,-50.000000
-70.470791,-23.079576,-50.000000
-70.471631,-23.080034,-50.000000
-70.472518,-23.080411,-50.000000
-70.473466,-23.080572,-50.000000
-70.474377,-23.080284,-50.000000
-70.475112,-23.079694,-50.000000
-70.475114,-23.079693,-50.000000
-70.440300,-23.094665,-5.000000
-70.441185,-23.095045,-5.000000
-70.442110,-23.095335,-5.000000
-70.443033,-23.095627,-5.000000
-70.443978,-23.095854,-5.000000
-70.444928,-23.096059,-5.000000
-70.445893,-23.096187,-5.000000
-70.446868,-23.096219,-5.000000
-70.447840,-23.096294,-5.000000
-70.448810,-23.096392,-5.000000
-70.449781,-23.096486,-5.000000
-70.450753,-23.096574,-5.000000
-70.451724,-23.096667,-5.000000
-70.452695,-23.096757,-5.000000
-70.453669,-23.096815,-5.000000
-70.454643,-23.096873,-5.000000
-70.455617,-23.096837,-5.000000
-70.456592,-23.096794,-5.000000
-70.457568,-23.096810,-5.000000
-70.458526,-23.096956,-5.000000
-70.459410,-23.097337,-5.000000
-70.460109,-23.097964,-5.000000
-70.460684,-23.098692,-5.000000
-70.461477,-23.099127,-5.000000
-70.462452,-23.099158,-5.000000
-70.463425,-23.099226,-5.000000
-70.464389,-23.099353,-5.000000
-70.465364,-23.099395,-5.000000
-70.466339,-23.099374,-5.000000
-70.467283,-23.099187,-5.000000
-70.468227,-23.098984,-5.000000
-70.469202,-23.098948,-5.000000
-70.470171,-23.098840,-5.000000
-70.471140,-23.098727,-5.000000
-70.472105,-23.098596,-5.000000
-70.473067,-23.098441,-5.000000
-70.474028,-23.098286,-5.000000
-70.474978,-23.098086,-5.000000
-70.475938,-23.097923,-5.000000
-70.476897,-23.097754,-5.000000
-70.477858,-23.097600,-5.000000
-70.478826,-23.097497,-5.000000
-70.479797,-23.097404,-5.000000
-70.480766,-23.097298,-5.000000
-70.481714,-23.097102,-5.000000
-70.482581,-23.096691,-5.000000
-70.483358,-23.096145,-5.000000
-70.484110,-23.095570,-5.000000
-70.484860,-23.094991,-5.000000
-70.485442,-23.094273,-5.000000
-70.485794,-23.093440,-5.000000
-70.485897,-23.092542,-5.000000
-70.485987,-23.091643,-5.000000
-70.486243,-23.090775,-5.000000
-70.486591,-23.089932,-5.000000
-70.487226,-23.089292,-5.000000
-70.487891,-23.089203,-5.000000
-70.486999,-23.088539,-20.000000
-70.486377,-23.089200,-20.000000
-70.485790,-23.089875,-20.000000
-70.485144,-23.090516,-20.000000
-70.484514,-23.091177,-20.000000
-70.483791,-23.091685,-20.000000
-70.482885,-23.091946,-20.000000
-70.481922,-23.092089,-20.000000
-70.480955,-23.092212,-20.000000
-70.479989,-23.092337,-20.000000
-70.479023,-23.092465,-20.000000
-70.478056,-23.092592,-20.000000
-70.477089,-23.092706,-20.000000
-70.476115,-23.092696,-20.000000
-70.475142,-23.092641,-20.000000
-70.474166,-23.092667,-20.000000
-70.473190,-23.092695,-20.000000
-70.472216,-23.092752,-20.000000
-70.471245,-23.092839,-20.000000
-70.470279,-23.092967,-20.000000
-70.469368,-23.092757,-20.000000
-70.468455,-23.093023,-20.000000
-70.467479,-23.093008,-20.000000
-70.466505,-23.093051,-20.000000
-70.465538,-23.093149,-20.000000
-70.464657,-23.093534,-20.000000
-70.463689,-23.093629,-20.000000
-70.462713,-23.093621,-20.000000
-70.461738,-23.093587,-20.000000
-70.460763,-23.093551,-20.000000
-70.459787,-23.093519,-20.000000
